Timestamp,Sensor,X,Y,Z
1521,Accelerometer 1,-10.04201,-2.19669,0.00000
1531,Accelerometer 1,-9.25748,-2.11824,-0.47072
1539,Accelerometer 1,-9.57129,-2.35360,-0.54917
1545,Accelerometer 1,-9.41438,-1.96133,0.00000
1552,Accelerometer 1,-9.80665,-1.96133,0.00000
1559,Accelerometer 1,-9.80665,-2.43205,-0.23536
1577,Accelerometer 1,-9.57129,-2.19669,-0.31381
1588,Accelerometer 1,-9.49284,-2.03978,-0.15691
1600,Accelerometer 1,-9.57129,-2.27514,0.00000
1607,Accelerometer 1,-9.41438,-2.11824,0.00000
1613,Accelerometer 1,-9.80665,-2.27514,-0.15691
1631,Accelerometer 1,-9.80665,-2.11824,-0.23536
1641,Accelerometer 1,-9.57129,-2.03978,-0.62763
1648,Accelerometer 1,-9.49284,-2.51050,-0.31381
1654,Accelerometer 1,-9.80665,-2.51050,-0.62763
1661,Accelerometer 1,-9.72820,-2.19669,-0.47072
1669,Accelerometer 1,-9.72820,-1.88288,0.54917
1688,Accelerometer 1,-9.72820,-2.27514,0.07845
1698,Accelerometer 1,-9.72820,-2.03978,-0.31381
1710,Accelerometer 1,-9.57129,-2.35360,-0.39227
1717,Accelerometer 1,-9.57129,-1.96133,-0.31381
1724,Accelerometer 1,-9.57129,-1.96133,-0.39227
1742,Accelerometer 1,-9.49284,-2.11824,-0.39227
1753,Accelerometer 1,-9.57129,-1.88288,-0.23536
1759,Accelerometer 1,-9.96356,-2.11824,-0.47072
1766,Accelerometer 1,-9.72820,-2.27514,-0.23536
1773,Accelerometer 1,-9.72820,-2.27514,-0.31381
1780,Accelerometer 1,-9.64974,-2.19669,-0.47072
1798,Accelerometer 1,-9.41438,-2.03978,0.00000
1813,Accelerometer 1,-9.72820,-2.03978,0.00000
1819,Accelerometer 1,-9.72820,-2.19669,-0.31381
1826,Accelerometer 1,-9.80665,-2.03978,0.00000
1833,Accelerometer 1,-9.80665,-2.27514,-0.23536
1853,Accelerometer 1,-9.72820,-2.51050,-0.23536
1862,Accelerometer 1,-9.33593,-1.88288,-0.31381
1869,Accelerometer 1,-9.64974,-2.27514,-0.78453
1876,Accelerometer 1,-9.88510,-1.96133,-0.15691
1884,Accelerometer 1,-9.72820,-1.96133,0.15691
1890,Accelerometer 1,-9.33593,-2.27514,-0.54917
1907,Accelerometer 1,-9.64974,-2.35360,0.00000
1924,Accelerometer 1,-9.57129,-1.80442,0.00000
1931,Accelerometer 1,-9.41438,-2.43205,0.00000
1937,Accelerometer 1,-9.49284,-1.80442,0.00000
1944,Accelerometer 1,-9.64974,-2.11824,0.00000
1963,Accelerometer 1,-9.80665,-2.43205,0.15691
1973,Accelerometer 1,-9.72820,-2.19669,0.39227
1979,Accelerometer 1,-9.64974,-1.80442,0.00000
1986,Accelerometer 1,-9.80665,-2.11824,-0.54917
1993,Accelerometer 1,-9.72820,-2.51050,0.07845
1999,Accelerometer 1,-9.88510,-2.11824,-0.23536
2023,Accelerometer 1,-9.72820,-2.11824,0.31381
2034,Accelerometer 1,-9.49284,-2.11824,0.00000
2040,Accelerometer 1,-9.57129,-2.03978,-0.31381
2048,Accelerometer 1,-9.72820,-1.88288,-0.31381
2055,Accelerometer 1,-9.64974,-2.43205,-0.39227
2072,Accelerometer 1,-9.41438,-2.19669,-0.31381
2082,Accelerometer 1,-9.57129,-1.96133,0.00000
2088,Accelerometer 1,-9.88510,-1.96133,0.00000
2096,Accelerometer 1,-9.57129,-2.43205,-0.54917
2103,Accelerometer 1,-9.49284,-2.03978,-0.54917
2109,Accelerometer 1,-9.64974,-2.19669,0.00000
2145,Accelerometer 1,-9.49284,-1.96133,-0.31381
2156,Accelerometer 1,-9.88510,-1.88288,-0.31381
2163,Accelerometer 1,-9.49284,-2.27514,-0.39227
2169,Accelerometer 1,-9.57129,-1.96133,-0.31381
2177,Accelerometer 1,-9.64974,-2.19669,-0.31381
2195,Accelerometer 1,-9.72820,-1.96133,-0.31381
2205,Accelerometer 1,-9.10057,-2.19669,-0.31381
2211,Accelerometer 1,-9.72820,-1.96133,-0.23536
2219,Accelerometer 1,-9.72820,-1.96133,-0.62763
2226,Accelerometer 1,-9.41438,-1.88288,0.15691
2248,Accelerometer 1,-9.64974,-2.03978,-0.54917
2259,Accelerometer 1,-9.64974,-2.27514,0.00000
2267,Accelerometer 1,-9.72820,-2.11824,0.47072
2274,Accelerometer 1,-9.88510,-2.11824,0.00000
2280,Accelerometer 1,-9.57129,-2.03978,-0.31381
2297,Accelerometer 1,-9.64974,-2.03978,-0.31381
2308,Accelerometer 1,-9.49284,-2.19669,0.00000
2315,Accelerometer 1,-9.80665,-2.03978,0.00000
2321,Accelerometer 1,-9.72820,-2.19669,-0.47072
2328,Accelerometer 1,-9.33593,-1.25525,0.00000
2335,Accelerometer 1,-9.80665,-2.19669,-0.39227
2358,Accelerometer 1,-9.80665,-2.11824,0.00000
2369,Accelerometer 1,-9.49284,-2.27514,-0.31381
2376,Accelerometer 1,-9.72820,-2.35360,-0.47072
2383,Accelerometer 1,-9.72820,-2.03978,-0.39227
2390,Accelerometer 1,-9.72820,-2.19669,0.15691
2397,Accelerometer 1,-9.72820,-2.11824,-0.78453
2415,Accelerometer 1,-9.64974,-2.03978,0.23536
2425,Accelerometer 1,-9.49284,-1.88288,0.00000
2432,Accelerometer 1,-9.64974,-2.27514,-0.31381
2439,Accelerometer 1,-9.80665,-1.96133,0.00000
2446,Accelerometer 1,-9.80665,-2.19669,0.00000
2468,Accelerometer 1,-9.72820,-2.27514,-0.15691
2479,Accelerometer 1,-9.96356,-2.03978,-0.39227
2486,Accelerometer 1,-9.72820,-2.03978,-0.47072
2493,Accelerometer 1,-9.49284,-2.11824,-0.39227
2500,Accelerometer 1,-9.88510,-1.64752,-0.23536
2506,Accelerometer 1,-9.88510,-2.19669,0.00000
2526,Accelerometer 1,-9.80665,-2.35360,-0.54917
2536,Accelerometer 1,-9.17902,-2.27514,0.00000
2543,Accelerometer 1,-9.72820,-2.03978,-0.39227
2549,Accelerometer 1,-9.41438,-2.11824,-0.23536
2561,Accelerometer 1,-9.80665,-2.03978,0.00000
2579,Accelerometer 1,-9.72820,-2.03978,-0.31381
2590,Accelerometer 1,-9.64974,-2.11824,0.00000
2596,Accelerometer 1,-9.72820,-2.27514,0.00000
2604,Accelerometer 1,-9.72820,-2.19669,0.00000
2611,Accelerometer 1,-9.72820,-1.80442,0.07845
2617,Accelerometer 1,-9.64974,-1.80442,0.00000
2635,Accelerometer 1,-9.72820,-2.11824,-0.54917
2646,Accelerometer 1,-9.49284,-2.11824,0.07845
2652,Accelerometer 1,-9.57129,-2.11824,-0.62763
2659,Accelerometer 1,-9.72820,-2.19669,-0.23536
2670,Accelerometer 1,-9.64974,-2.11824,-0.15691
2690,Accelerometer 1,-9.57129,-1.72597,-0.39227
2701,Accelerometer 1,-9.57129,-2.19669,0.00000
2707,Accelerometer 1,-9.64974,-2.27514,-0.31381
2714,Accelerometer 1,-9.80665,-2.27514,-0.54917
2721,Accelerometer 1,-9.72820,-2.19669,-0.31381
2739,Accelerometer 1,-9.64974,-2.19669,0.00000
2748,Accelerometer 1,-9.80665,-2.03978,0.00000
2755,Accelerometer 1,-9.33593,-2.19669,-0.31381
2762,Accelerometer 1,-9.49284,-2.11824,-0.07845
2774,Accelerometer 1,-9.88510,-2.11824,0.00000
2792,Accelerometer 1,-9.33593,-1.96133,0.00000
2803,Accelerometer 1,-9.72820,-2.51050,0.00000
2809,Accelerometer 1,-9.41438,-2.19669,-0.15691
2817,Accelerometer 1,-9.57129,-2.19669,0.15691
2824,Accelerometer 1,-9.96356,-1.96133,0.00000
2830,Accelerometer 1,-9.88510,-2.19669,-0.47072
2849,Accelerometer 1,-9.72820,-2.11824,-0.31381
2859,Accelerometer 1,-9.72820,-2.27514,0.00000
2866,Accelerometer 1,-9.41438,-1.88288,-0.47072
2873,Accelerometer 1,-9.49284,-1.96133,-0.47072
2884,Accelerometer 1,-9.88510,-1.96133,0.00000
2902,Accelerometer 1,-9.33593,-2.03978,-0.39227
2913,Accelerometer 1,-9.41438,-2.19669,-0.39227
2919,Accelerometer 1,-9.41438,-2.19669,-0.94144
2926,Accelerometer 1,-9.57129,-2.03978,-0.54917
2933,Accelerometer 1,-9.49284,-2.03978,0.00000
2939,Accelerometer 1,-9.96356,-2.27514,-0.62763
2959,Accelerometer 1,-9.41438,-2.11824,-0.31381
2969,Accelerometer 1,-9.49284,-2.03978,-0.23536
2976,Accelerometer 1,-9.41438,-2.11824,-0.39227
3010,Accelerometer 1,-9.49284,-2.66741,-0.39227
3021,Accelerometer 1,-9.41438,-2.03978,0.00000
3028,Accelerometer 1,-9.57129,-2.03978,0.00000
3036,Accelerometer 1,-9.64974,-2.03978,0.00000
3042,Accelerometer 1,-9.64974,-2.35360,-0.54917
3049,Accelerometer 1,-9.72820,-1.96133,-0.47072
3067,Accelerometer 1,-9.72820,-2.03978,0.00000
3077,Accelerometer 1,-9.64974,-1.56906,0.00000
3084,Accelerometer 1,-9.57129,-2.27514,0.54917
3090,Accelerometer 1,-9.72820,-2.27514,-0.47072
3097,Accelerometer 1,-9.64974,-2.27514,-0.31381
3124,Accelerometer 1,-9.96356,-2.11824,-0.47072
3135,Accelerometer 1,-9.49284,-2.03978,-0.31381
3142,Accelerometer 1,-9.64974,-2.03978,-0.54917
3148,Accelerometer 1,-9.88510,-2.19669,0.15691
3155,Accelerometer 1,-9.41438,-2.11824,0.00000
3174,Accelerometer 1,-9.72820,-2.03978,-0.23536
3183,Accelerometer 1,-9.72820,-2.19669,0.00000
3190,Accelerometer 1,-9.64974,-1.64752,0.07845
3196,Accelerometer 1,-9.57129,-2.19669,-0.15691
3204,Accelerometer 1,-9.57129,-1.80442,-0.31381
3226,Accelerometer 1,-9.72820,-2.51050,-0.31381
3237,Accelerometer 1,-9.64974,-2.03978,0.00000
3245,Accelerometer 1,-9.57129,-2.43205,-0.62763
3251,Accelerometer 1,-9.41438,-2.03978,0.00000
3258,Accelerometer 1,-9.88510,-2.19669,-0.39227
3265,Accelerometer 1,-9.72820,-2.27514,-0.54917
3283,Accelerometer 1,-9.80665,-2.27514,-0.54917
3293,Accelerometer 1,-9.64974,-2.11824,0.00000
3300,Accelerometer 1,-9.49284,-1.80442,1.88288
3307,Accelerometer 1,-9.80665,-1.96133,0.00000
3313,Accelerometer 1,-9.72820,-2.27514,0.00000
3337,Accelerometer 1,-9.64974,-2.27514,0.00000
3348,Accelerometer 1,-9.49284,-2.35360,-0.31381
3355,Accelerometer 1,-9.57129,-2.03978,0.00000
3361,Accelerometer 1,-9.57129,-2.11824,-0.47072
3368,Accelerometer 1,-9.72820,-2.11824,0.00000
3386,Accelerometer 1,-9.57129,-2.51050,-0.39227
3396,Accelerometer 1,-9.49284,-1.88288,0.62763
3402,Accelerometer 1,-9.57129,-2.03978,0.00000
3409,Accelerometer 1,-9.64974,-2.35360,0.00000
3417,Accelerometer 1,-9.49284,-1.96133,0.15691
3423,Accelerometer 1,-9.72820,-2.03978,-0.31381
3446,Accelerometer 1,-9.64974,-1.64752,0.23536
3458,Accelerometer 1,-9.57129,-2.19669,0.39227
3465,Accelerometer 1,-9.57129,-1.96133,-0.70608
3471,Accelerometer 1,-9.72820,-2.19669,-0.31381
3478,Accelerometer 1,-9.64974,-2.19669,-0.23536
3485,Accelerometer 1,-9.88510,-2.11824,-0.39227
3504,Accelerometer 1,-9.49284,-1.96133,0.00000
3514,Accelerometer 1,-9.80665,-2.35360,0.00000
3520,Accelerometer 1,-9.64974,-2.19669,0.23536
3527,Accelerometer 1,-9.72820,-2.03978,0.00000
3538,Accelerometer 1,-9.72820,-2.11824,-0.62763
3557,Accelerometer 1,-9.49284,-2.19669,-0.62763
3567,Accelerometer 1,-9.57129,-2.27514,0.47072
3574,Accelerometer 1,-9.64974,-2.19669,0.00000
3581,Accelerometer 1,-9.57129,-2.11824,-0.62763
3588,Accelerometer 1,-9.49284,-2.43205,-0.39227
3595,Accelerometer 1,-9.49284,-2.19669,0.00000
3614,Accelerometer 1,-9.49284,-1.88288,-0.39227
3624,Accelerometer 1,-9.64974,-2.19669,-0.15691
3631,Accelerometer 1,-9.57129,-2.27514,-0.23536
3638,Accelerometer 1,-9.57129,-2.35360,-0.54917
3649,Accelerometer 1,-9.64974,-1.72597,1.64752
3667,Accelerometer 1,-9.96356,-2.35360,-0.47072
3679,Accelerometer 1,-9.41438,-2.19669,0.00000
3685,Accelerometer 1,-9.64974,-1.88288,0.23536
